,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ultrabook,8,Mac_OS,1339.69,Intel Core i5,2.3,Intel,128,0.30796992481203
1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ultrabook,8,Mac_OS,898.94,Intel Core i5,1.8,Intel,0,0.0974436090225563
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Notebook,8,Linux/No_OS/Other_OS,575.0,Intel Core i5,2.5,Intel,256,0.1329230769230769
3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ultrabook,16,Mac_OS,2537.45,Intel Core i7,2.7,AMD,512,0.3366233766233766
4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ultrabook,8,Mac_OS,1803.6,Intel Core i5,3.1,Intel,256,0.30796992481203
5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Notebook,4,Windows_10,400.0,AMD Processor,3.0,AMD,0,0.0672492307692307
6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ultrabook,16,Mac OS X,2139.97,Intel Core i7,2.2,Intel,0,0.3366233766233766
7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ultrabook,8,Mac_OS,1158.7,Intel Core i5,1.8,Intel,0,0.0974436090225563
8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ultrabook,16,Windows_10,1495.0,Intel Core i7,1.8,Nvidia,512,0.1481142857142857
9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ultrabook,8,Windows_10,770.0,Intel Core i5,1.6,Intel,256,0.1481142857142857
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Notebook,4,Linux/No_OS/Other_OS,393.9,Intel Core i5,2.5,Intel,0,0.0672492307692307
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Notebook,4,Linux/No_OS/Other_OS,344.99,Intel Core i3,2.0,Intel,0,0.1329230769230769
12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ultrabook,16,Mac_OS,2439.97,Intel Core i7,2.8,AMD,256,0.3366233766233766
13,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Notebook,4,Windows_10,498.9,Intel Core i3,2.0,AMD,256,0.1329230769230769
